Plate,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Payment Amount,Amount Due,Violation Status
71860JT,8354510864,09/29/2016,02:11P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
26364ME,8408511609,09/28/2016,04:23P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
22409MB,8422537874,11/22/2016,03:53P,NO STOPPING-DAY/TIME LIMITS,,115.00,115.00,0.00,
57273MD,8425522079,10/14/2016,10:08A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
28427JU,8437007896,10/04/2016,12:48P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
26364ME,8437009479,10/14/2016,01:13P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
14620JZ,8439008600,09/22/2016,08:44A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
19563MH,8470522322,11/28/2016,11:13A,BIKE LANE,,115.00,115.00,0.00,
26364ME,8470716335,09/27/2016,10:59A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
57273MD,8438017125,09/23/2016,01:28P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,
91731JA,8011654251,10/25/2016,03:52P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
71878JT,1415813425,10/04/2016,09:31A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
69065ME,8436016944,11/23/2016,09:54A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
98853JZ,8072532881,10/26/2016,10:26A,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8465015995,12/12/2016,10:15A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
67300JV,8487904944,12/13/2016,11:49A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
67300JV,4623104084,09/09/2016,08:38A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
28427JU,8324028559,12/23/2016,10:17A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
14620JZ,8460514912,12/24/2016,01:23P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
26364ME,7037582487,06/09/2016,09:11A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
28426JU,7038300179,06/01/2016,10:41A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
26364ME,7038301287,06/08/2016,10:47A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
72226JM,8489316960,01/27/2017,06:55A,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
48549JW,8260531914,06/09/2016,02:19P,EXPIRED MUNI METER,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
19563MH,7664309943,02/06/2017,12:52P,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8060061562,01/06/2017,10:40A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
45450MG,4624108917,09/26/2016,03:50P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
84067JW,8491615155,01/30/2017,11:54A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,8508250782,01/17/2017,11:10A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
19563MH,1415821320,10/18/2016,05:39P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
28426JU,1417835515,01/24/2017,09:30A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8470532674,02/01/2017,08:47A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
28427JU,7039919564,04/06/2016,12:15P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
98853JZ,8344027998,12/07/2016,02:41P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
28426JU,8432523770,01/03/2017,12:06P,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,8083574211,01/04/2017,09:31A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
91731JA,8178074977,03/16/2017,02:14P,FIRE HYDRANT,,115.00,115.00,0.00,
71878JT,8302043217,01/06/2017,01:54P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
11101JC,8343075912,01/25/2017,01:59P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
14620JZ,8010064592,10/24/2016,12:56P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
72226JM,8505152499,01/23/2017,09:10A,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
26364ME,8193534645,11/11/2016,11:51A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
14620JZ,8244029274,10/31/2016,04:55P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
19563MH,8481215089,03/21/2017,03:27P,NO PARKING-TAXI STAND,,65.00,65.00,0.00,
14620JZ,8489323057,02/28/2017,09:07A,FIRE HYDRANT,,115.00,115.00,0.00,
19227MC,8512952532,03/08/2017,01:38P,NO STANDING-BUS STOP,,115.00,115.00,0.00,
57273MD,8515250184,02/10/2017,09:42A,NO STANDING-BUS STOP,,115.00,115.00,0.00,
28426JU,8515504777,03/07/2017,10:41A,BIKE LANE,,115.00,115.00,0.00,
29765MA,7037719341,09/12/2016,12:03P,FIRE HYDRANT,,115.00,115.00,0.00,
91731JA,7012350957,06/29/2016,01:04P,NO STANDING-DAY/TIME LIMITS,,115.00,125.00,0.00,HEARING HELD-GUILTY
45450MG,8077554246,10/20/2016,12:06P,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
48549JW,1413716209,10/06/2016,08:29A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,1413003722,10/05/2016,01:45P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,7149903721,05/05/2016,12:52P,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
41748MH,8323537422,11/07/2016,01:55P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
48549JW,8482711088,02/22/2017,02:52P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
29765MA,1415761917,10/04/2016,09:33A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
71878JT,1415764116,10/05/2016,01:45P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8495500759,02/23/2017,01:11P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
13743JK,8495803124,03/16/2017,02:29P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
91731JA,8508307159,03/17/2017,11:16A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
65572JU,1415761061,09/29/2016,01:40P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
48660JW,8470530458,01/24/2017,01:08P,FIRE HYDRANT,,115.00,115.00,0.00,
19227MC,7114889793,05/09/2016,10:58A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
13894JU,8163097541,03/03/2017,01:04P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
13894JU,8534150382,03/09/2017,01:43P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
65572JU,7066360849,08/30/2016,09:40A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
28427JU,8539850310,03/16/2017,01:08P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
19563MH,8493610525,01/23/2017,09:41A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8508250770,01/17/2017,11:07A,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
41748MH,8508255743,02/08/2017,11:02A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
86838JT,1409934070,03/30/2016,10:37A,TRAFFIC LANE,,115.00,125.00,0.00,
26364ME,8475816538,02/02/2017,03:13P,NO STANDING-BUS STOP,,115.00,115.00,0.00,
28427JU,8511804006,02/24/2017,10:21A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
19563MH,8513158379,03/20/2017,11:15A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,7190352557,04/05/2016,02:38P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
13894JU,1411153029,07/14/2016,12:04P,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
91731JA,8511757028,03/13/2017,11:49A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8517000808,02/16/2017,10:37A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
28427JU,1409898143,07/05/2016,10:19A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
14620JZ,4629667581,01/19/2017,08:30A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
41748MH,1416990940,10/27/2016,09:55A,DOUBLE PARKING,,115.00,115.00,0.00,
11101JC,1416992662,11/23/2016,09:51A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
67300JV,4630250888,02/02/2017,09:21A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
29765MA,8263640623,02/06/2017,09:15A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
65572JU,8480459785,02/13/2017,09:27A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
29765MA,8480461240,02/21/2017,11:04A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
19227MC,8480611315,03/10/2017,01:33P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
71878JT,5094519300,11/28/2016,07:44A,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
19563MH,8495702939,03/10/2017,02:48P,DOUBLE PARKING-MIDTOWN COMML,,115.00,115.00,0.00,HEARING HELD-GUILTY
84067JW,4629159642,01/05/2017,09:15A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
19227MC,5095081039,01/20/2017,09:03A,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
28426JU,7287164115,04/11/2016,01:27P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
45450MG,8504979775,04/28/2017,12:43P,EXPIRED MUNI METER,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8481370770,04/28/2017,11:24A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
26364ME,8496108971,04/26/2017,02:08P,EXPIRED MUNI METER,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
72226JM,4633315377,05/03/2017,09:40A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
GRU5328,4623510876,09/16/2016,11:55A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
41748MH,8508265608,04/03/2017,11:02A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,8508265943,04/04/2017,10:56A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
69065ME,5093057629,08/16/2016,11:03A,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
28427JU,8509468989,04/20/2017,06:20P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8510910832,03/31/2017,11:16A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8511260444,04/03/2017,11:10A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,8513508974,04/03/2017,11:09A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
65572JU,1407739141,01/26/2017,00:31A,NGHT PKG ON RESID STR-COMM VEH,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8515511538,05/03/2017,11:11A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
28426JU,8546504799,05/04/2017,10:31A,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
14620JZ,8075060568,09/14/2016,10:57A,FIRE HYDRANT,,115.00,115.00,0.00,
19563MH,8480656037,02/13/2017,01:49P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
26364ME,8482854471,02/16/2017,01:18P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
84067JW,8505352804,01/24/2017,04:44P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
64999JV,8521805007,03/02/2017,12:08P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
98853JZ,8470512810,09/19/2016,11:12A,COMML PLATES-UNALTERED VEHICLE,,115.00,115.00,0.00,
67300JV,7438360751,05/06/2016,10:04A,REG. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
28426JU,4633362112,05/03/2017,01:32P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
86838JT,7003912673,04/29/2016,11:00A,FIRE HYDRANT,,115.00,115.00,0.00,
71860JT,8521270800,05/09/2017,01:11P,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
71860JT,8521716631,05/05/2017,09:32A,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
69065ME,8522114780,05/19/2017,02:47P,BIKE LANE,,115.00,115.00,0.00,
84067JW,4626057135,10/31/2016,07:57A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
11101JC,1405781816,01/12/2017,03:00A,NGHT PKG ON RESID STR-COMM VEH,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
45450MG,4625612263,10/24/2016,08:26A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
69065ME,8495560781,04/25/2017,02:41P,DOUBLE PARKING-MIDTOWN COMML,,115.00,115.00,0.00,HEARING HELD-GUILTY
13894JU,8512858242,03/21/2017,04:08P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
48549JW,8517350455,05/01/2017,02:02P,NO PARKING-EXC. AUTH. VEHICLE,,65.00,65.00,0.00,HEARING HELD-GUILTY
11101JC,8533855310,03/27/2017,01:59P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
28427JU,8534264788,05/05/2017,04:05P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
71860JT,8510924351,05/11/2017,06:14A,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
28426JU,8513864079,05/09/2017,01:43P,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
98853JZ,5091853900,06/01/2016,08:54A,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
72226JM,8517121697,05/17/2017,12:24P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
19563MH,7038300167,06/01/2016,10:40A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
71860JT,7038302190,06/14/2016,09:00A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
67300JV,5092330820,06/30/2016,02:21P,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
14620JZ,8561350775,05/09/2017,11:41A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
48549JW,7055099973,03/21/2016,02:11P,DOUBLE PARKING-MIDTOWN COMML,,115.00,115.00,0.00,HEARING HELD-GUILTY
67300JV,4632700514,04/06/2017,09:32A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
69065ME,8521266121,04/19/2017,01:52P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
28426JU,8521707435,03/21/2017,09:39A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
72226JM,1414280178,09/26/2017,10:47A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
41748MH,7013414943,07/29/2016,11:50A,BIKE LANE,,115.00,115.00,0.00,
14620JZ,8252525131,09/12/2016,12:39P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
41748MH,7492333201,05/10/2016,12:04P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
45450MG,1404826166,01/14/2017,06:20P,NO STANDING-DAY/TIME LIMITS,,115.00,125.00,0.00,HEARING HELD-GUILTY
67300JV,1404831071,02/13/2017,10:45A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
84067JW,7038302711,06/17/2016,09:02A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
71860JT,7038303478,06/23/2016,09:11A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
26364ME,7038303480,06/23/2016,09:13A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
64999JV,7039925849,06/21/2016,09:40A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
26364ME,7039925862,06/21/2016,09:44A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
84067JW,7038302188,06/14/2016,08:58A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
84067JW,7038303673,06/23/2016,11:33A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
71860JT,7038304987,06/30/2016,09:11A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
72226JM,7038306054,07/12/2016,09:03A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
13743JK,8520012462,05/12/2017,01:45P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
GRF3643,4624659727,10/07/2016,11:34A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
14620JZ,7046695507,07/06/2016,10:09A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
HCE5794,7047036143,04/20/2016,01:44P,NO PARKING-DAY/TIME LIMITS,,65.00,65.00,0.00,HEARING HELD-GUILTY REDUCTION
13894JU,7114897017,06/21/2016,11:47A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
14620JZ,8258544998,10/18/2016,04:35P,REG. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
28440JU,8312521665,08/16/2016,10:21A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
28426JU,8423514973,09/22/2016,12:55P,NO STANDING-BUS STOP,,115.00,115.00,0.00,
26364ME,7038305062,06/30/2016,09:48A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8534408233,04/03/2017,01:39P,NON-COMPLIANCE W/ POSTED SIGN,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
GRF3643,8561350740,05/09/2017,11:29A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
98853JZ,8562202253,05/12/2017,10:01A,NO PARKING-STREET CLEANING,,45.00,45.00,0.00,HEARING HELD-GUILTY
22409MB,7491078436,08/11/2016,09:41A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,8508517804,07/05/2017,03:00P,FIRE HYDRANT,,115.00,115.00,0.00,
72226JM,8512267665,05/17/2017,10:18A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
65572JU,8574551375,06/18/2017,10:13A,FIRE HYDRANT,,115.00,115.00,0.00,
48549JW,7562289876,04/29/2016,01:22P,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,1417941236,12/01/2016,11:34A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,4628423933,12/19/2016,09:28A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
28440JU,1414934403,01/09/2017,04:55P,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
GRF3643,5093627835,09/24/2016,04:33P,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
GRU5328,5093657980,09/26/2016,12:34P,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
GRF3643,8523919648,06/13/2017,11:16A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
14620JZ,8565001726,05/19/2017,08:47A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
69065ME,8574505997,07/20/2017,03:11P,REG. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
65572JU,1402854705,11/23/2016,02:27A,NGHT PKG ON RESID STR-COMM VEH,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
72226JM,4635794301,07/13/2017,07:26A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
22409MB,8484941875,07/17/2017,10:07A,SAFETY ZONE,,115.00,115.00,0.00,
64999JV,1416994464,01/17/2017,10:23A,CROSSWALK,,115.00,115.00,0.00,
28426JU,8516575159,05/31/2017,10:30A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
26364ME,7662344435,04/06/2016,01:11P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8500406902,08/01/2017,01:39P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
72226JM,1403217919,10/26/2016,10:15A,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
